id,t,sensor3
10,15,-0.56873852
10,16,-0.57714796
10,17,-0.5779889
10,18,-0.57714796
10,19,-0.56873852
10,20,-0.54351021
10,21,-0.50566773
10,22,-0.45941582
10,23,-0.41316391
10,24,-0.36270728
10,25,-0.31225065
10,26,-0.26179402
10,27,-0.22395154
10,28,-0.20292795
10,29,-0.19872323
10,30,-0.20292795
10,31,-0.21133738
10,32,-0.24497514
10,33,-0.29543177
10,34,-0.35429784
10,35,-0.40895919
10,36,-0.45100638
10,37,-0.48043942
10,38,-0.49305357
10,39,-0.49725829
10,40,-0.48043942
10,41,-0.37952615
10,42,-0.24077042
10,43,-0.16929019
10,44,-0.16088075
10,45,-0.29543177
10,46,-0.48464414
10,47,-0.56873852
10,48,-0.57882985
10,49,-0.49725829
11,0,-0.90376622
11,1,-0.93427734
11,2,-0.94702826
11,3,-0.95613606
11,4,-0.96569925
11,5,-0.97571783
11,6,-0.99438881
11,7,-1.0262661
11,8,-1.0558665
11,9,-1.065885
11,10,-1.0636081
11,11,-1.0426601
11,12,-1.0007643
11,13,-0.95795762
11,14,-0.91879409
11,15,-0.88145211
11,16,-0.86004879
11,17,-0.85549489
11,18,-0.85595028
11,19,-0.85868262
11,20,-0.86596885
11,21,-0.88327367
11,22,-0.90057849
11,23,-0.90331083
11,24,-0.89511381
11,25,-0.86369191
11,26,-0.81997447
11,27,-0.77215853
11,28,-0.72252103
11,29,-0.67106197
11,30,-0.62279063
11,31,-0.59227951
11,32,-0.58317171
11,33,-0.58772561
11,34,-0.62233524
11,35,-0.64556013
11,36,-0.6514802
11,37,-0.63235382
11,38,-0.58772561
11,39,-0.53307882
11,40,-0.51486322
11,41,-0.54218662
11,42,-0.54674051
11,43,-0.51030932
11,44,-0.48753982
11,45,-0.47387813
11,46,-0.38735404
11,47,-0.25073706
11,48,-0.13688958
11,49,-0.095904485
12,0,-1.0216963
12,1,-0.97115952
12,2,-0.94456124
12,3,-0.948285
12,4,-0.95786038
12,5,-0.95413662
12,6,-0.93498586
12,7,-0.90998347
12,8,-0.88498108
12,9,-0.86157459
12,10,-0.84295579
12,11,-0.83391238
12,12,-0.82912469
12,13,-0.81582554
12,14,-0.78497153
12,15,-0.75092573
12,16,-0.72911514
12,17,-0.72379548
12,18,-0.73443479
12,19,-0.74560607
12,20,-0.74667
12,21,-0.73496676
12,22,-0.70783651
12,23,-0.69187754
12,24,-0.69187754
12,25,-0.70251685
12,26,-0.69187754
12,27,-0.64400063
12,28,-0.54292714
12,29,-0.46313229
12,30,-0.45249298
12,31,-0.48973058
12,32,-0.52164852
12,33,-0.63868097
12,34,-0.68655788
12,35,-0.67591857
12,36,-0.66527925
12,37,-0.69719719
12,38,-0.74241428
12,39,-0.76741667
12,40,-0.78231171
12,41,-0.77220436
12,42,-0.73975445
12,43,-0.69187754
12,44,-0.64932028
12,45,-0.60144337
12,46,-0.5854844
12,47,-0.58016474
12,48,-0.56952543
12,49,-0.51632886
13,0,-0.89037454
13,1,-0.88034029
13,2,-0.88644809
13,3,-0.90695285
13,4,-0.93182033
13,5,-0.9383644
13,6,-0.93487423
13,7,-0.91960473
13,8,-0.89953624
13,9,-0.89081081
13,10,-0.89037454
13,11,-0.89255589
13,12,-0.89255589
13,13,-0.88862945
13,14,-0.87728639
13,15,-0.86070807
13,16,-0.84412975
13,17,-0.83453178
13,18,-0.83278669
13,19,-0.83365924
13,20,-0.83453178
13,21,-0.83365924
13,22,-0.82580635
13,23,-0.81402702
13,24,-0.80791922
13,25,-0.80573786
13,26,-0.80137514
13,27,-0.78436055
13,28,-0.73898831
13,29,-0.6748564
13,30,-0.62468517
13,31,-0.60767058
13,32,-0.61159702
13,33,-0.66264079
13,34,-0.72284627
13,35,-0.76560088
13,36,-0.78915954
13,37,-0.79963006
13,38,-0.80704667
13,39,-0.81664465
13,40,-0.82100736
13,41,-0.81620837
13,42,-0.80137514
13,43,-0.77432631
13,44,-0.73680695
13,45,-0.70016015
13,46,-0.67223877
13,47,-0.6486801
13,48,-0.61901364
13,49,-0.56796987
14,0,-0.55467941
14,1,-0.55052398
14,2,-0.52974679
14,3,-0.51312505
14,4,-0.50481418
14,5,-0.50065874
14,6,-0.50065874
14,7,-0.50481418
14,8,-0.51312505
14,9,-0.51312505
14,10,-0.50896961
14,11,-0.50065874
14,12,-0.48403699
14,13,-0.47572612
14,14,-0.47157068
14,15,-0.47157068
14,16,-0.47572612
14,17,-0.47157068
14,18,-0.46325981
14,19,-0.4507935
14,20,-0.44663807
14,21,-0.44663807
14,22,-0.45494894
14,23,-0.46325981
14,24,-0.46325981
14,25,-0.4507935
14,26,-0.40923914
14,27,-0.35106303
14,28,-0.30119779
14,29,-0.28457605
14,30,-0.28457605
14,31,-0.30535323
14,32,-0.35106303
14,33,-0.39261739
14,34,-0.41755001
14,35,-0.43417176
14,36,-0.44248263
14,37,-0.45494894
14,38,-0.47157068
14,39,-0.47988156
14,40,-0.49234787
14,41,-0.50065874
14,42,-0.48819243
14,43,-0.45494894
14,44,-0.42170545
14,45,-0.38846196
14,46,-0.36768477
14,47,-0.34690759
14,48,-0.31781954
14,49,-0.25133256
15,0,-0.49851222
15,1,-0.49815706
15,2,-0.49673641
15,3,-0.49318478
15,4,-0.48608153
15,5,-0.47897828
15,6,-0.46832341
15,7,-0.45411691
15,8,-0.44346203
15,9,-0.43280715
15,10,-0.42215228
15,11,-0.4114974
15,12,-0.3972909
15,13,-0.3830844
15,14,-0.37953278
15,15,-0.3830844
15,16,-0.39373928
15,17,-0.4114974
15,18,-0.41860065
15,19,-0.41860065
15,20,-0.4114974
15,21,-0.38663603
15,22,-0.35111977
15,23,-0.33336165
15,24,-0.32981002
15,25,-0.33336165
15,26,-0.35111977
15,27,-0.37953278
15,28,-0.3972909
15,29,-0.40439415
15,30,-0.40794578
15,31,-0.40794578
15,32,-0.4114974
15,33,-0.41860065
15,34,-0.43635878
15,35,-0.45056528
15,36,-0.46122016
15,37,-0.46832341
15,38,-0.46832341
15,39,-0.46832341
15,40,-0.46122016
15,41,-0.45056528
15,42,-0.4257039
15,43,-0.40794578
15,44,-0.40084253
15,45,-0.37598115
15,46,-0.34401652
15,47,-0.29429377
15,48,-0.19484826
15,49,-0.066989751
16,0,-0.64259236
16,1,-0.5695673
16,2,-0.49654223
16,3,-0.49654223
16,4,-0.52575226
16,5,-0.55009394
16,6,-0.54522561
16,7,-0.50141057
16,8,-0.43812217
16,9,-0.39917547
16,10,-0.38457046
16,11,-0.37483378
16,12,-0.36996544
16,13,-0.37483378
16,14,-0.40404381
16,15,-0.45272719
16,16,-0.50141057
16,17,-0.54522561
16,18,-0.57930397
16,19,-0.58904065
16,20,-0.57930397
16,21,-0.54522561
16,22,-0.54522561
16,23,-0.55983062
16,24,-0.57443563
16,25,-0.57443563
16,26,-0.55983062
16,27,-0.49654223
16,28,-0.39430713
16,29,-0.3650971
16,30,-0.40891215
16,31,-0.55496228
16,32,-0.65719738
16,33,-0.68251274
16,34,-0.68105223
16,35,-0.69127574
16,36,-0.73849862
16,37,-0.79886601
16,38,-0.84754939
16,39,-0.86994375
16,40,-0.85972024
16,41,-0.83440488
16,42,-0.78085316
16,43,-0.72876195
16,44,-0.69078891
16,45,-0.65719738
16,46,-0.62311901
16,47,-0.57930397
16,48,-0.50141057
