age,position,minutes_in_game,appearances,minutes_played_home,minutes_played_away,minutes_on_bench,appearances_home,appearances_away,penalty_goals,goals_home,goals_away,penalty_misses,yellow_cards_overall,red_cards_overall,penalty_attempts,penalty_goals
29,Defender,1940.5,20,661,853,426.5,9,11,0,1,0,0,4,0,0,0
29,Forward,1332.0,27,546,524,262.0,14,13,0,2,1,0,3,0,0,0
31,Defender,4283.0,40,1703,1720,860.0,20,20,0,0,1,0,4,0,0,0
33,Midfielder,251.0,8,83,112,56.0,5,3,0,0,0,0,1,0,0,0
31,Forward,1268.0,27,464,536,268.0,14,13,0,1,1,1,1,0,1,0
34,Defender,1998.0,23,813,790,395.0,12,11,0,1,0,0,4,0,0,0
27,Defender,4067.0,40,1646,1614,807.0,20,20,0,0,0,0,2,0,0,0
31,Midfielder,2438.0,33,875,1042,521.0,15,18,0,0,0,0,3,0,0,0
31,Defender,2643.0,31,942,1134,567.0,16,15,0,0,0,0,2,0,0,0
23,Defender,1080.5,15,446,423,211.5,7,8,0,0,0,0,1,0,0,0
31,Defender,2648.0,26,1148,1000,500.0,14,12,0,0,1,0,1,0,0,0
29,Forward,3233.0,40,1340,1262,631.0,20,20,0,4,6,0,2,0,0,0
29,Midfielder,1900.5,30,720,787,393.5,14,16,0,1,0,0,2,0,0,0
30,Forward,981.5,18,536,297,148.5,11,7,0,0,1,0,1,0,0,0
29,Midfielder,3454.5,37,1467,1325,662.5,19,18,0,6,2,0,3,0,0,0
34,Defender,289.0,5,100,126,63.0,2,3,0,0,0,0,0,0,0,0
30,Defender,1927.0,23,967,640,320.0,15,8,0,0,0,0,4,1,0,0
30,Defender,4097.0,39,1652,1630,815.0,20,19,0,0,1,0,6,1,0,0
31,Defender,1102.5,13,426,451,225.5,7,6,0,1,2,0,1,0,0,0
37,Goalkeeper,25.0,2,10,10,5.0,1,1,0,0,0,0,0,0,0,0
29,Forward,76.0,4,19,38,19.0,2,2,0,0,0,0,0,0,0,0
28,Forward,92.0,8,59,22,11.0,4,4,0,0,0,0,0,0,0,0
28,Midfielder,4300.0,40,1720,1720,860.0,20,20,0,0,0,0,5,0,0,0
21,Midfielder,25.0,2,10,10,5.0,1,1,0,0,0,0,0,0,0,0
32,Defender,3893.0,38,1571,1548,774.0,19,19,0,1,2,0,2,0,0,0
20,Midfielder,25.0,2,10,10,5.0,1,1,0,0,0,0,0,0,0,0
28,Defender,2413.0,30,1063,900,450.0,16,14,0,0,0,0,7,0,0,0
31,Midfielder,3160.0,32,1201,1306,653.0,15,17,0,0,1,0,7,1,0,0
28,Goalkeeper,25.0,2,10,10,5.0,1,1,0,0,0,0,0,0,0,0
